                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3171,                 4.8709,                 1.6537,                0.23243,                0.05714,                0.01608,                0.00426,                 1.9454,                 4.7162,                 1.6557,                 0.0937,                 0.0007,                 0.0007
                      1,                 2.0958,                 3.8949,                 1.5694,                0.34804,                0.33004,                0.21138,                0.09126,                 1.7778,                 3.4833,                 1.5628,               0.086441,              0.0014406,              0.0014406
                      2,                 1.8665,                 2.3354,                  1.375,                0.58188,                0.41377,                0.39381,                0.19843,                 1.5913,                 2.6062,                 1.5264,               0.079118,              0.0021178,              0.0021178
                      3,                  1.749,                   1.76,                 1.3269,                0.48932,                0.55612,                0.48467,                0.26234,                 1.4957,                 2.4688,                 1.4593,               0.071732,              0.0027317,              0.0027317
                      4,                 1.6438,                 1.5669,                 1.3099,                0.54015,                  0.686,                0.59153,                0.30646,                 1.5248,                 2.1191,                  1.453,               0.064282,              0.0032822,              0.0032822
                      5,                 1.6473,                  1.438,                 1.2858,                 0.7115,                0.58937,                0.68466,                0.37082,                 1.5052,                 1.7193,                  1.429,               0.056769,              0.0037694,              0.0037694
                      6,                 1.5383,                 1.3292,                 1.2428,                0.49263,                0.70947,                 0.6663,                0.37948,                 1.4464,                 1.5527,                 1.4105,               0.049193,              0.0041932,              0.0041932
                      7,                 1.5537,                 1.2293,                 1.2046,                0.53576,                 0.6421,                0.62228,                0.34601,                 1.4857,                 1.7147,                 1.4545,               0.041554,              0.0045536,              0.0045536
                      8,                 1.5477,                 1.1851,                 1.2245,                0.66427,                0.73337,                0.74833,                0.43008,                 1.4117,                 1.4019,                 1.3758,               0.033851,              0.0048507,              0.0048507
                      9,                 1.5091,                 1.1391,                 1.1944,                0.71105,                0.71832,                0.75281,                0.44738,                  1.413,                  1.287,                  1.329,               0.026084,              0.0050844,              0.0050844
                     10,                 1.4711,                 1.0348,                 1.1908,                0.66253,                0.68477,                0.74619,                0.42991,                 1.4587,                 1.3728,                 1.3827,               0.018255,              0.0052548,              0.0052548
                     11,                 1.5112,                 1.0714,                 1.1742,                0.75224,                0.70984,                0.77195,                 0.4486,                 1.4907,                 1.2715,                 1.3874,               0.010362,              0.0053618,              0.0053618
                     12,                 1.4766,                 1.0406,                 1.1746,                0.77246,                0.75547,                0.80146,                0.45465,                 1.4592,                 1.1871,                 1.3593,               0.005248,               0.005248,               0.005248
                     13,                 1.4035,                0.93453,                 1.1193,                 0.7198,                0.78971,                0.79219,                0.46268,                  1.484,                 1.1651,                 1.3553,               0.005248,               0.005248,               0.005248
                     14,                 1.4652,                0.93233,                 1.1325,                0.73453,                0.85176,                0.82135,                0.48207,                 1.4674,                  1.145,                 1.3528,               0.004852,               0.004852,               0.004852
                     15,                 1.3689,                0.94952,                 1.1011,                0.89769,                0.73592,                0.83591,                 0.5034,                 1.4691,                 1.1022,                 1.3863,               0.004456,               0.004456,               0.004456
                     16,                 1.3418,                0.89054,                 1.0998,                0.92081,                0.75542,                0.84662,                0.52121,                 1.4162,                 1.0814,                  1.332,                0.00406,                0.00406,                0.00406
                     17,                 1.3403,                0.85591,                 1.0831,                0.83113,                0.79461,                0.84724,                0.50627,                 1.3642,                 1.0007,                 1.2984,               0.003664,               0.003664,               0.003664
                     18,                 1.2965,                 0.7749,                 1.0613,                0.81744,                  0.821,                0.86325,                0.52405,                 1.3627,                0.98134,                 1.2878,               0.003268,               0.003268,               0.003268
                     19,                 1.3092,                0.77003,                 1.0568,                 0.8662,                0.81337,                0.87652,                0.51472,                 1.4064,                0.95509,                 1.2827,               0.002872,               0.002872,               0.002872
                     20,                 1.2539,                0.72993,                 1.0253,                0.91869,                0.77844,                0.87188,                0.52546,                 1.3862,                0.93537,                 1.2587,               0.002476,               0.002476,               0.002476
                     21,                 1.2546,                 0.7372,                 1.0497,                0.79883,                0.84119,                0.86823,                0.51664,                  1.408,                0.91904,                 1.2758,                0.00208,                0.00208,                0.00208
                     22,                 1.2404,                0.73926,                 1.0539,                0.87633,                 0.7986,                0.86245,                0.51519,                 1.4188,                0.93561,                 1.2814,               0.001684,               0.001684,               0.001684
                     23,                 1.2147,                 0.6998,                 1.0122,                0.86136,                0.77705,                0.84814,                0.51402,                 1.4106,                 0.9636,                 1.2851,               0.001288,               0.001288,               0.001288
                     24,                 1.2112,                 0.6983,                  1.038,                0.84151,                0.83967,                0.86115,                0.51151,                 1.3878,                 0.9412,                 1.2744,               0.000892,               0.000892,               0.000892
